<2016-05-12 05:39:32.858858>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:33.860860>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:33.860860>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:33.860860>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:34.862862>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:34.862862>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:34.862862>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:35.860860>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:35.860860>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:35.860860>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:36.916916>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:36.916916>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:36.916916>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:37.953953>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:37.953953>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:37.953953>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:39.01212>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:39.01212>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:39.02727>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:39.859859>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:39.859859>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:39.863863>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:40.860860>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:40.864864>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:40.865865>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:41.863863>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:41.865865>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:41.867867>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:42.971971>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:42.971971>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:42.986986>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:43.869869>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:39:43.870870>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:43.871871>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:39:44.326326>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:39:44.334334>	Debug:	void __thiscall Logger::close(void):		(103)		~close log
