<2016-05-12 05:41:09.999999>	Debug:	bool __thiscall Logger::open(const class QString &):		(93)		~open log
<2016-05-12 05:41:10.184184>	Debug:	__thiscall ServerTest::ServerTest(class QObject *):		(34)		~cant open file
<2016-05-12 05:41:10.253253>	Debug:	bool __thiscall SMSObjectManager::initSmsObjectManager(void):		(44)		~succes smsObjectManager
<2016-05-12 05:41:13.854854>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:41:13.854854>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:13.854854>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:41:14.254254>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:41:14.254254>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:14.254254>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:41:15.259259>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:41:15.259259>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:15.259259>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:41:16.255255>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:41:16.255255>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:16.255255>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:41:17.255255>	Debug:	void __thiscall SMSObjectManager::onTitleMonitorTimer(void):		(151)		~failed to find ""
<2016-05-12 05:41:17.255255>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:17.255255>	Debug:	void __thiscall Boss::onTitleCheck(bool):		(81)		~title is dead
<2016-05-12 05:41:17.457457>	Debug:	void __thiscall SMSObjectManager::resetSMSObject(void):		(228)		~reset SMS object
<2016-05-12 05:41:17.466466>	Debug:	void __thiscall Logger::close(void):		(103)		~close log
